                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8083,                 2.7304,                 2.3971,                 1.4138,                0.51179,                0.45457,                0.43535,                0.30637,                0.51045,                0.44801,                0.43611,                0.29896,                 1.5908,                 2.2302,                 1.5637,                 1.2621,                0.07275,              0.0059817,              0.0059817
                      2,                 1.5732,                 2.1098,                 1.6859,                  1.211,                0.44041,                0.42463,                0.45669,                 0.3136,                0.43897,                0.41899,                0.45122,                0.30293,                 1.5872,                 2.3395,                 1.7458,                 1.2533,               0.044824,               0.011389,               0.011389
                      3,                 1.6304,                 2.1578,                 1.6525,                 1.2288,                0.77787,                0.37325,                0.42131,                 0.2606,                0.78019,                0.37523,                0.42253,                0.25871,                 1.7569,                 2.4598,                 1.8443,                 1.3667,               0.016303,               0.016201,               0.016201
                      4,                 1.6969,                 2.2069,                 1.6937,                 1.2674,                0.81349,                0.40987,                0.48308,                0.32706,                0.81984,                0.41339,                0.48662,                0.31472,                 1.6435,                 2.2626,                 1.6295,                 1.2615,               0.015327,               0.015327,               0.015327
                      5,                 1.7042,                 2.1941,                 1.5455,                 1.2552,                0.56391,                0.43297,                0.44808,                0.29544,                0.57116,                0.43944,                 0.4596,                0.29799,                 1.7928,                 2.3739,                  1.645,                 1.3601,               0.015327,               0.015327,               0.015327
                      6,                 1.6803,                 2.1519,                 1.5233,                  1.266,                0.50253,                0.50301,                0.50165,                0.32975,                0.50119,                0.50339,                0.50576,                0.32225,                 1.6801,                 2.1642,                 1.4314,                  1.292,               0.014436,               0.014436,               0.014436
                      7,                 1.6534,                 2.1098,                 1.4667,                 1.2486,                0.80273,                0.44809,                0.49622,                0.33847,                0.80587,                0.45164,                0.50246,                0.33082,                 1.6277,                 2.2163,                 1.4063,                 1.2753,               0.013545,               0.013545,               0.013545
                      8,                  1.635,                 2.0874,                 1.4311,                 1.2317,                0.55956,                0.45348,                0.50786,                 0.3535,                0.56042,                0.45421,                0.50915,                0.35016,                 1.6272,                 2.3051,                 1.4143,                 1.2736,               0.012654,               0.012654,               0.012654
                      9,                  1.613,                 2.0523,                 1.4045,                 1.2318,                0.49905,                0.48213,                0.48814,                0.33466,                0.51197,                0.48473,                0.49452,                0.32876,                 1.6708,                 2.3235,                 1.4307,                 1.2842,               0.011763,               0.011763,               0.011763
                     10,                 1.5819,                 2.0212,                  1.375,                 1.2099,                0.58461,                0.51705,                0.54533,                0.36634,                0.58137,                0.51007,                0.54231,                0.35775,                 1.5679,                 2.1798,                 1.3282,                  1.237,               0.010872,               0.010872,               0.010872
                     11,                 1.5523,                 1.9599,                 1.3283,                 1.1989,                0.57921,                0.55738,                0.54619,                 0.3736,                0.58021,                0.55864,                0.54793,                0.36445,                 1.6026,                 2.1596,                 1.3132,                 1.2573,               0.009981,               0.009981,               0.009981
                     12,                 1.5137,                 1.9268,                 1.2779,                 1.1819,                0.55246,                0.54879,                 0.5469,                0.37807,                0.55758,                0.55181,                0.54972,                0.37521,                 1.5878,                 2.0604,                 1.2885,                 1.2484,                0.00909,                0.00909,                0.00909
                     13,                 1.5042,                 1.8948,                 1.2593,                 1.1704,                0.56551,                0.57075,                0.55481,                0.39047,                0.56389,                0.56753,                0.55298,                0.37402,                 1.5524,                 2.0777,                 1.2544,                 1.2303,               0.008199,               0.008199,               0.008199
                     14,                 1.4682,                 1.8825,                 1.2367,                 1.1605,                  0.557,                0.56648,                0.56172,                0.40124,                0.55762,                0.56711,                0.56277,                0.39469,                 1.5381,                 2.0858,                 1.2837,                 1.2167,               0.007308,               0.007308,               0.007308
                     15,                 1.4418,                 1.8349,                 1.1951,                 1.1436,                0.57185,                 0.5576,                0.56324,                0.39848,                0.57988,                0.56381,                0.56503,                0.38424,                 1.5505,                 2.0973,                 1.2232,                 1.2301,               0.006417,               0.006417,               0.006417
                     16,                 1.4388,                 1.8208,                 1.1669,                  1.146,                0.62563,                0.54795,                0.57175,                0.40905,                0.63263,                0.53864,                0.57078,                0.39038,                 1.5216,                 2.0642,                 1.2145,                 1.2087,               0.005526,               0.005526,               0.005526
                     17,                  1.401,                   1.78,                 1.1433,                 1.1301,                0.57241,                0.57327,                 0.5702,                 0.4095,                0.57986,                0.57569,                 0.5692,                0.39205,                 1.5129,                 2.0657,                   1.21,                 1.2022,               0.004635,               0.004635,               0.004635
                     18,                 1.4187,                  1.774,                 1.1386,                 1.1402,                0.55675,                0.59121,                 0.5671,                0.40848,                0.55631,                0.59058,                0.56656,                0.39577,                  1.505,                  2.074,                 1.2236,                 1.2007,               0.003744,               0.003744,               0.003744
                     19,                 1.3767,                 1.7265,                 1.0976,                   1.13,                0.58545,                0.56379,                0.56697,                0.40939,                 0.5876,                0.56462,                0.56814,                0.39596,                 1.4827,                 2.0126,                 1.1948,                 1.1952,               0.002853,               0.002853,               0.002853
                     20,                 1.3605,                 1.6994,                 1.0574,                 1.1131,                0.61546,                 0.5686,                0.58633,                0.42392,                0.62241,                0.56693,                0.58433,                0.40897,                 1.4872,                 1.9916,                 1.1811,                 1.1921,               0.001962,               0.001962,               0.001962
